Id,SalaryNormalized
14663196,18000
14663197,27500
20638788,35000
23529949,35000
23530231,35000
25452606,30000
27754996,35000
30292879,25000
32233421,35000
32417995,25000
34558783,30000
36757414,28800
37799823,30000
38221774,25000
38382572,30000
39000184,35000
42265407,30000
42949681,17000
43391464,35000
43611718,35000
43611886,27500
45225671,45000
45358437,11884
45358799,18000
46206762,62499
46626511,30000
46626559,30000
46626844,24000
46626845,30000
46626907,30000
46626933,11884
46626980,30000
46627111,30000
46627188,30000
46627237,23040
46627242,25000
46627260,23040
46627296,30000
46627298,35000
46627316,30000
46627324,23040
46627325,14400
46627361,24000
46627405,15360
46627501,30000
46627503,24000
46627509,14400
46627510,14400
46627613,15360
46627840,13440
46627903,24000
46627905,24000
46627929,14400
46627935,14400
46627974,35000
46627978,15360
46627981,14400
46627994,15360
46628018,23040
46628058,28800
46628060,28800
46628061,28800
46628212,30000
46628213,35000
46628249,35000
46628410,30000
46628461,30000
46628464,24000
46628472,25000
46628562,25000
46628622,11884
46628678,14400
46628741,23040
46628746,23040
46628749,23040
46628752,23040
46628753,23040
46628786,30000
46628790,30000
46628809,24000
46628876,28000
46628877,29000
46629038,14400
46629065,35000
46629163,30000
46629271,30000
46629396,30000
46629404,25000
46629407,14400
46629410,14400
46629414,14400
46629429,24000
46629430,20000
46629500,14400
46629629,13440
46629645,24000
46629749,30000
46629803,11884
46629829,30000
46629882,24000
46630239,30000
46630317,14400
46630337,14400
46630339,24000
46630774,15360
46631072,14400
46631073,14400
46631127,23040
46631182,30000
46631341,24000
46631351,24000
46631507,30000
46631530,30000
46631882,24000
46632025,23040
46632039,30000
46632042,35000
46632048,37500
46632292,30000
46632301,30000
46632393,30000
46632482,30000
46632572,24000
46632686,25000
46632731,40000
46632734,14400
46632735,32500
46632761,14400
46632796,23040
46633027,24000
46633034,23040
46633181,13440
46633186,23040
46633230,25000
46633368,28000
46633375,20000
46633424,29000
46633523,32500
46633554,30000
46633588,14400
46633621,30000
46633623,55000
46633661,14400
46633688,30000
46633703,30000
46633778,35000
46633845,30000
46633872,24000
46633926,14400
46633944,30000
46634003,35000
46634013,23040
46634015,14400
46634047,40000
46634065,14400
46634306,35000
46634354,25000
46634357,14400
46634422,35000
46634428,62499
46634450,30000
46634547,14400
46634622,14400
46634627,35000
46634743,30000
46634780,14400
46634808,30000
46634913,24000
46634927,23040
46634970,24000
46634973,29000
46635114,30000
46635130,40000
46635245,30000
46635251,11884
46635276,28500
46635322,35000
46635359,24000
46635382,24960
46635471,30000
46635529,30000
46635578,30000
46635605,18000
46635629,24000
46635697,23040
46635743,30000
46635755,23040
46635768,35000
46635770,40000
46635841,24000
46635857,35000
46636018,27500
46636062,30000
46636102,35000
46636133,35000
46636196,40000
46636207,30000
46636249,28000
46636252,23040
46636278,24000
46636331,25000
46636333,30000
46636335,35000
46636410,35000
46636455,35000
46636469,19200
46636475,30000
46636699,30000
46636735,24000
46636754,35000
46636798,35000
46636824,11884
46636825,25000
46636830,24000
46636852,24000
46636934,35000
46636970,30000
46637003,30000
46637006,30000
46637019,24000
46637027,24000
46637076,30000
46637077,30000
46637082,30000
46637133,25000
46637136,35000
46637141,24000
46637151,35000
46637442,18000
46637538,30000
46637551,30000
46637620,24000
46637667,14400
46637668,14400
46637711,25000
46637712,30000
46849661,35000
46852017,14400
46852022,30000
46852076,25000
46852082,30000
47089967,30000
47089969,24000
47089993,24000
47090039,14400
47090040,29400
47090103,30000
47090107,24000
47090115,30000
47679908,25000
47724573,40000
47835704,18000
47920381,30000
47920384,30000
47920420,37500
47920429,30000
47920454,30000
47920474,30000
47920575,24000
47920604,24000
47989787,30000
47990234,30000
48219448,42500
48271436,30000
48271453,35000
48271508,24000
48271519,30000
48271646,24000
48271650,30000
48271651,30000
48271669,35000
48293775,35000
48300390,30000
48337520,14400
48409595,25000
48481443,30000
48481456,14400
48481518,30000
48481520,25000
48481533,25000
48664548,24000
48876504,45000
49065430,35000
49065507,35000
49065523,23040
49260142,30000
49429408,35000
49429423,23040
49429476,28000
49527211,18000
49689043,24000
49689064,23040
49903472,35000
49903564,30000
49903570,28800
49903583,60000
49927541,35000
50124123,30000
50255358,35000
50255409,35000
50255457,28000
50255539,30000
50255548,15360
50595131,40000
50738105,25000
50738326,25000
50738344,20000
50738386,18000
50738392,15000
50881816,25000
50881843,35000
50881854,35000
50882000,45000
50882002,30000
50882006,23040
50882066,30000
50882076,25000
50882086,30000
50882130,23040
51059638,30000
51061201,30000
51061218,35000
51061233,30000
51125231,30000
51285866,23040
51285901,24000
51285910,30000
51285924,35000
51289488,25000
51294422,30000
51590518,15360
51593387,35000
51593402,48000
51759096,30000
52015829,40000
52015851,40000
52021869,13440
52094437,17000
52257837,35000
52269369,30000
52269711,30000
52269733,25000
52454422,20000
52488973,35000
52488985,30000
52777306,20000
52784719,14400
52784757,30000
52942632,30000
52993030,45000
53030219,14400
53074149,45000
53245098,30000
53254103,35000
53268678,11884
53268761,35000
53268775,25000
53268786,23500
53268818,30000
53268971,30000
53268987,32500
53444496,19200
53602160,14400
53633132,30000
53636956,18000
53652065,23040
53834403,62499
53863720,23040
53863767,30000
53863789,24000
54074529,30000
54184418,35000
54293888,35000
54293937,30000
54293939,25000
54293992,48000
54431896,20000
54455120,32500
54486327,25000
54486559,35000
54486598,37500
54486626,25000
54609105,45000
54681541,30000
54711380,25000
54711392,24000
54711396,30000
54711467,30000
54792623,35000
54900518,30000
54951664,25000
55278119,30000
55278155,28000
55400251,35000
55400265,30000
55400377,18500
55400380,18500
55400384,18500
55400419,18500
55400425,18500
55407963,30000
55407970,40000
55408086,35000
55408128,30000
55408230,45000
55408417,25000
55408439,40000
55408484,40000
55408491,40000
55408732,55000
55408733,35000
55408771,35000
55408831,35000
55408846,40000
55408956,30000
55408961,35000
55409126,45000
55409128,35000
55409131,25000
55409141,35000
55409178,35000
55409256,45000
55409302,35000
55409349,35000
55409440,32500
55409561,45000
55409653,55000
55409661,45000
55409710,40000
55409728,50000
55409747,45000
55409869,30000
55409970,35000
55409979,40000
55409997,30000
55410105,35000
55410122,40000
55410173,40000
55410214,40000
55414692,35000
55414956,35000
55419914,40000
55597727,30000
55598137,35000
55720803,24000
55720822,30000
55720908,30000
56009149,28000
56010404,25000
56010452,23040
56010535,30000
56010543,25000
56010544,11884
56010569,30000
56010592,30000
56010606,23040
56209762,30000
56209781,30000
56209784,30000
56209807,30000
56209824,24000
56209848,28800
56209890,35000
56209906,24000
56222437,11884
56281922,45000
56281955,45000
56281958,55000
56286033,35000
56292365,28800
56292472,45000
56292554,40000
56292642,30000
56292657,30000
56292660,30000
56292662,25000
56292956,40000
56292962,15360
56293446,35000
56293617,30000
56293740,35000
56293804,35000
56293959,30000
56294217,35000
56294487,35000
56362737,18000
56365710,14400
56365939,14400
56366135,14400
56366180,35000
56366184,45000
56366186,35000
56366679,35000
56599778,21000
56883020,30000
56883039,13440
56883181,28000
56883211,14400
56946361,35000
57033760,30000
57034007,40000
57039538,24000
57111481,14400
57111483,29000
57111514,35000
57111515,35000
57111523,35000
57111573,35000
57111641,30000
57315957,23040
57315981,30000
57316008,34000
57372891,30000
57400330,30000
57443052,30000
57457276,35000
57470314,40000
57488458,15000
57500095,45000
57513935,35000
57513939,35000
57513975,35000
57513982,13440
57513983,13440
57513992,35000
57514002,24000
57514008,30000
57514030,14400
57659471,32640
57664884,25000
57672672,35000
57681486,35000
57713410,14000
57716229,27500
57716236,30000
57716262,32500
57716270,35000
57716318,35000
57716321,23040
57752163,35000
57752307,30000
57845951,35000
57866758,35000
57867347,45000
57903503,30000
58052840,35000
58066993,20000
58082026,25000
58244317,30000
58244510,35000
58373935,35000
58420817,15000
58448219,22500
58476720,35000
58477815,18000
58501674,40000
58501777,30000
58501812,24000
58501848,30000
58501880,24000
58502032,30000
58502077,24000
58502082,30000
58502120,37500
58533500,35000
58533528,35000
58587929,30000
58649388,11884
58663108,18000
58728136,14400
58759043,35000
58759123,35000
58818984,45000
58892233,35000
58906624,30000
58907156,29172
58936609,30000
58936919,35000
58936958,35000
58996098,35000
58996111,30000
58999058,19000
59104070,35000
59107148,18000
59124468,30000
59124763,30000
59134899,40000
59323279,30000
59374636,24000
59374640,30000
59374642,24000
59374717,30000
59459341,18000
59500062,35000
59551715,30000
59710486,30000
59787475,45000
59788312,35000
59788326,35000
59788348,24000
59788385,30000
59788403,35000
59835311,30000
59871989,28800
59872736,30000
59957199,35000
59967492,62499
59968095,23040
59968148,24000
60120174,45000
60202868,24000
60202879,30000
60276128,40000
60276290,35000
60276292,22500
60276311,35000
60405070,35000
60422458,40000
60422464,40000
60422465,40000
60422474,25000
60422475,35000
60429994,25000
60430300,30000
60492587,18000
60502192,35000
60507580,30000
60509951,35000
60510218,30000
60510586,30000
60511396,30000
60584735,32000
60676478,28000
60685236,30000
60685255,30000
60685286,30000
60685289,23040
60685353,20000
60685374,24000
60685394,24000
60718913,25000
60752204,23040
60831592,30000
